Date,confirmed,recovered,fatal
20/4/2020,1345,972,13
21/4/2020,1356,1012,13
22/4/2020,1357,1047,14
23/4/2020,1369,1079,14
24/4/2020,1387,1084,14
25/4/2020,1388,1108,15
26/4/2020,1394,1134,17
27/4/2020,1398,1184,17
28/4/2020,1403,1205,17
29/4/2020,1404,1227,18
30/4/2020,1431,1233,18
1/5/2020,1455,1250,18
2/5/2020,1518,1251,18
3/5/2020,1529,1258,18
4/5/2020,1550,1273,18
5/5/2020,1555,1291,19
6/5/2020,1564,1303,20
7/5/2020,1580,1312,20
8/5/2020,1586,1318,20
9/5/2020,1596,1340,20
10/5/2020,1604,1355,20
11/5/2020,1607,1374,20
12/5/2020,1610,1410,21
13/5/2020,1612,1420,21
14/5/2020,1613,1434,21
15/5/2020,1627,1446,21
16/5/2020,1628,1458,21
17/5/2020,1636,1470,21
18/5/2020,1644,1493,21
19/5/2020,1650,1524,21
20/5/2020,1665,1528,21
21/5/2020,1673,1534,21
22/5/2020,1693,1542,22
23/5/2020,1730,1545,22
24/5/2020,1776,1546,22
25/5/2020,1829,1547,22
26/5/2020,1838,1548,22
27/5/2020,1843,1548,22
28/5/2020,1845,1554,22
29/5/2020,1873,1560,22
30/5/2020,1878,1574,22
31/5/2020,1909,1575,22
1/6/2020,1920,1596,22
2/6/2020,1926,1600,22
3/6/2020,1928,1610,22
4/6/2020,1930,1619,22
5/6/2020,1939,1624,22
6/6/2020,1953,1649,23
7/6/2020,1965,1669,23
8/6/2020,1968,1669,23
9/6/2020,1971,1689,23
10/6/2020,1971,1702,23
11/6/2020,1971,1702,23
12/6/2020,1987,1740,23
13/6/2020,1994,1781,24
14/6/2020,1996,1858,24
15/6/2020,1998,1867,24
16/6/2020,1999,1867,24
17/6/2020,2004,1872,24
18/6/2020,2006,1884,24
19/6/2020,2006,1889,24
20/6/2020,2021,1893,24
21/6/2020,2025,1897,24
22/6/2020,2027,1901,24
23/6/2020,2027,1902,24
24/6/2020,2032,1913,24
25/6/2020,2034,1924,24
26/6/2020,2036,1936,24
27/6/2020,2039,1942,24
28/6/2020,2044,1942,24
29/6/2020,2046,1952,24
30/6/2020,2047,1964,24
1/7/2020,2048,1971,24
2/7/2020,2048,1974,24
3/7/2020,2051,1977,24
4/7/2020,2058,1979,24
5/7/2020,2060,1979,24
6/7/2020,2062,1982,24
7/7/2020,2065,1982,24
8/7/2020,2066,1982,24
9/7/2020,2070,1989,24
10/7/2020,2076,1997,24
11/7/2020,2079,1998,24
12/7/2020,2088,1998,24
13/7/2020,2092,2000,24
14/7/2020,2093,2000,24
15/7/2020,2094,2000,24
16/7/2020,2094,2001,24
17/7/2020,2098,2001,24
18/7/2020,2099,2003,24
19/7/2020,2103,2003,24
20/7/2020,2107,2003,24
21/7/2020,2109,2008,24
22/7/2020,2112,2008,24
23/7/2020,2112,2008,24
24/7/2020,2115,2011,24
25/7/2020,2118,2011,24
26/7/2020,2118,2011,24
27/7/2020,2119,2019,24
28/7/2020,2119,2019,24
29/7/2020,2121,2029,24
30/7/2020,2122,2029,24
31/7/2020,2123,2029,24
1/8/2020,2129,2029,24
2/8/2020,2130,2030,24
3/8/2020,2130,2030,24
4/8/2020,2130,2033,24
5/8/2020,2130,2033,24
6/8/2020,2130,2033,24
7/8/2020,2132,2033,24
8/8/2020,2133,2084,24
9/8/2020,2134,2084,24
10/8/2020,2138,2085,24
11/8/2020,2139,2085,24
12/8/2020,2139,2087,24
13/8/2020,2142,2088,24
14/8/2020,2144,2088,24
15/8/2020,2144,2088,24
16/8/2020,2149,2093,24
17/8/2020,2150,2093,24
18/8/2020,2150,2093,24
19/8/2020,2150,2093,24
20/8/2020,2151,2104,24
21/8/2020,2153,2104,24
22/8/2020,2153,2112,24
23/8/2020,2155,2112,24
24/8/2020,2155,2112,24
25/8/2020,2158,2112,24
26/8/2020,2159,2112,24
27/8/2020,2161,2113,24
28/8/2020,2164,2114,24
29/8/2020,2166,2115,24
30/8/2020,2167,2115,24
31/8/2020,2171,2115,24
1/9/2020,2174,2127,24
2/9/2020,2175,2130,24
3/9/2020,2175,2130,24
4/9/2020,2177,2130,24
5/9/2020,2177,2130,24
6/9/2020,2177,2130,24
7/9/2020,2179,2134,24
8/9/2020,2188,2136,24
9/9/2020,2189,2136,24
10/9/2020,2190,2136,24
11/9/2020,2191,2139,24
12/9/2020,2193,2140,24
13/9/2020,2194,2140,24
14/9/2020,2194,2149,24
15/9/2020,2199,2152,24
16/9/2020,2199,2152,24
17/9/2020,2202,2152,24
18/9/2020,2205,2152,24
19/9/2020,2206,2152,24
20/9/2020,2210,2153,24
21/9/2020,2214,2163,24
22/9/2020,2215,2163,24
23/9/2020,2217,2164,24
24/9/2020,2220,2167,24
25/9/2020,2222,2168,24
26/9/2020,2224,2168,24
27/9/2020,2235,2168,24
28/9/2020,2246,2170,24
29/9/2020,2261,2176,24
30/9/2020,2271,2176,24
1/10/2020,2284,2176,24
2/10/2020,2315,2186,24
3/10/2020,2347,2186,24
4/10/2020,2378,2188,24
5/10/2020,2412,2188,24
6/10/2020,2451,2188,24
7/10/2020,2471,2191,24
8/10/2020,2507,2191,24
9/10/2020,2531,2193,24
10/10/2020,2575,2267,24
11/10/2020,2601,2295,24
12/10/2020,2670,2313,24
13/10/2020,2746,2341,24
14/10/2020,2814,2372,24
15/10/2020,2964,2422,24
16/10/2020,3014,2441,24
17/10/2020,3173,2458,24
18/10/2020,3250,2533,25
19/10/2020,3357,2630,25
20/10/2020,3489,2682,25
21/10/2020,3605,2749,25
22/10/2020,3742,2781,25
23/10/2020,3804,2817,25
24/10/2020,3880,2869,25
25/10/2020,3968,3033,25
26/10/2020,4145,3084,25
27/10/2020,4271,3175,25
28/10/2020,4360,3290,26
29/10/2020,4495,3364,26
30/10/2020,4645,3421,26
31/10/2020,4700,3552,26
1/11/2020,4925,3633,26
2/11/2020,5054,3788,26
3/11/2020,5179,3930,26
4/11/2020,5410,4028,27
5/11/2020,5590,4116,27
6/11/2020,5754,4304,27
7/11/2020,6001,4449,27
8/11/2020,6149,4596,27
9/11/2020,6287,4804,27
10/11/2020,6523,4966,27
11/11/2020,6701,5073,27
12/11/2020,6875,5281,27
13/11/2020,7239,5424,27
14/11/2020,7439,5624,27
15/11/2020,7624,5764,27
16/11/2020,7775,5935,27
17/11/2020,8046,6023,27
18/11/2020,8187,6277,27
19/11/2020,8594,6422,27
20/11/2020,8747,6662,27
21/11/2020,9149,6912,27
22/11/2020,9752,7091,27
23/11/2020,10955,7236,27
24/11/2020,12578,7535,27
25/11/2020,12693,7609,27
26/11/2020,12854,7869,27
27/11/2020,13029,8008,27
28/11/2020,13295,8497,27
29/11/2020,13533,8871,27
30/11/2020,13935,9968,27
1/12/2020,14826,10708,27
2/12/2020,15075,10895,27
3/12/2020,15534,11005,27
4/12/2020,15854,11198,30
5/12/2020,16075,11380,30
6/12/2020,16412,11610,30
7/12/2020,16838,12026,31
8/12/2020,17255,12823,31
9/12/2020,17532,12946,31
10/12/2020,18960,13180,31
11/12/2020,19789,13443,31
12/12/2020,20612,13660,31
13/12/2020,21047,14273,32
14/12/2020,21579,14547,34
15/12/2020,22082,14830,34
16/12/2020,22563,14930,35
17/12/2020,22931,15184,35
18/12/2020,23623,15509,35
19/12/2020,24024,15798,35
20/12/2020,24465,16104,35
21/12/2020,25669,16350,36
22/12/2020,26683,16576,26
23/12/2020,27218,16739,38
24/12/2020,27709,17354,38
25/12/2020,28170,18242,39
26/12/2020,28880,18582,39
27/12/2020,29272,18904,39
28/12/2020,29969,20060,41
29/12/2020,30716,20264,41
30/12/2020,31188,20756,42
31/12/2020,32393,21695,45
1/1/2021,33169,22829,46
2/1/2021,33807,24436,48
3/1/2021,34480,26336,54
4/1/2021,35167,28296,55
5/1/2021,35676,28728,57
6/1/2021,36641,29834,58
7/1/2021,37347,30595,61
8/1/2021,38433,31621,61
9/1/2021,38997,32763,71
10/1/2021,39727,33538,76
11/1/2021,40284,34213,79
12/1/2021,41291,34830,82
13/1/2021,42128,35480,82
14/1/2021,43164,36049,85
15/1/2021,44053,36875,89
16/1/2021,45519,38287,90
17/1/2021,46833,38994,92
18/1/2021,48046,40134,95
19/1/2021,49245,40670,102
20/1/2021,50636,41314,102
21/1/2021,51181,42816,109
22/1/2021,51963,43755,118
23/1/2021,53384,44464,120
24/1/2021,54334,46982,121
25/1/2021,55369,49422,123
26/1/2021,56664,50802,124
27/1/2021,57486,52087,126
28/1/2021,59063,53512,128
29/1/2021,62189,54451,139
30/1/2021,65474,55492,143
31/1/2021,67934,56786,155
1/2/2021,69296,60036,156
2/2/2021,70441,62814,168
3/2/2021,72013,64590,173
4/2/2021,74069,67135,177
5/2/2021,75297,70932,180
6/2/2021,76778,71532,181
7/2/2021,78384,72279,185
8/2/2021,79580,73433,192
9/2/2021,80442,74246,198
10/2/2021,82199,75305,203
11/2/2021,83281,76749,206
12/2/2021,84495,78049,212
13/2/2021,85840,79595,214
14/2/2021,86943,80978,216
15/2/2021,87853,83221,220
16/2/2021,89153,84503,222
17/2/2021,90535,85074,230
18/2/2021,91548,86442,245
19/2/2021,92526,87261,248
20/2/2021,93527,88656,249
21/2/2021,94395,89946,251
22/2/2021,95305,91072,254
23/2/2021,96237,91656,264
24/2/2021,96818,92902,266
25/2/2021,97484,94018,275
26/2/2021,98117,94748,278
27/2/2021,98979,95696,281
28/2/2021,99893,96666,284
1/3/2021,100346,97311,284
2/3/2021,101018,97984,287
3/3/2021,101658,98842,288
4/3/2021,102288,99841,291
5/3/2021,103082,100707,296
6/3/2021,103908,101528,299
7/3/2021,104654,102336,301
8/3/2021,105380,102973,301
9/3/2021,105844,103725,305
10/3/2021,106405,104062,307
11/3/2021,107117,104524,311
12/3/2021,107868,105025,312
13/3/2021,108419,105812,313
14/3/2021,108996,106577,314
15/3/2021,109375,107235,315
16/3/2021,109698,107567,316
17/3/2021,110197,107928,316
18/3/2021,110550,108217,316
19/3/2021,110898,108704,316
20/3/2021,111550,109129,318
21/3/2021,111906,109555,319
22/3/2021,112309,109906,319
23/3/2021,112934,110584,321
